Row,Brand,Model,Recorded Dimensions,Verdict,Finding,Recommended Value,Cut Sheet Status,Recommended Source,Current URL
11,Trane,FC-1 - FCBB0301BAYB0G20AB3A000001000PA,"33.3125"" W x 25.1875"" H x 9.875"" D",OK,"Matches UNT-SVX07Q Table 4 (Model B vertical cabinet): A=33-5/16"" size 03 / 38-5/16"" size 04; H 25-3/16""; D 9-7/8"".",,ok,,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf
12,Trane,FC-2 - FCBB0301BAYB0G20AB3A000001000PA,"33.3125"" W x 25.1875"" H x 9.875"" D",OK,"Matches UNT-SVX07Q Table 4 (Model B vertical cabinet): A=33-5/16"" size 03 / 38-5/16"" size 04; H 25-3/16""; D 9-7/8"".",,ok,,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf
13,Trane,FC-3-1 - FCBB0301AAYB0G20AB3A000001000PA,"33.3125"" W x 25.1875"" H x 9.875"" D",OK,"Matches UNT-SVX07Q Table 4 (Model B vertical cabinet): A=33-5/16"" size 03 / 38-5/16"" size 04; H 25-3/16""; D 9-7/8"".",,ok,,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf
14,Trane,FC-3-2 - FCBB0301AAYB0G20AB3A000001000PA,"33.3125"" W x 25.1875"" H x 9.875"" D",OK,"Matches UNT-SVX07Q Table 4 (Model B vertical cabinet): A=33-5/16"" size 03 / 38-5/16"" size 04; H 25-3/16""; D 9-7/8"".",,ok,,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf
15,Trane,FC-3-3 - FCBB0301AAYB0G20AB3A000001000PA,"33.3125"" W x 25.1875"" H x 9.875"" D",OK,"Matches UNT-SVX07Q Table 4 (Model B vertical cabinet): A=33-5/16"" size 03 / 38-5/16"" size 04; H 25-3/16""; D 9-7/8"".",,ok,,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf
16,Trane,FC-4 - FCBB0401BAYB0G20AC3A000001000PA,"38.3125"" W x 25.1875"" H x 9.875"" D",OK,"Matches UNT-SVX07Q Table 4 (Model B vertical cabinet): A=33-5/16"" size 03 / 38-5/16"" size 04; H 25-3/16""; D 9-7/8"".",,ok,,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf
17,Trane,FC-4-1 - FCBB0401BAYB0G20AC3A000001000PA,"38.3125"" W x 25.1875"" H x 9.875"" D",OK,"Matches UNT-SVX07Q Table 4 (Model B vertical cabinet): A=33-5/16"" size 03 / 38-5/16"" size 04; H 25-3/16""; D 9-7/8"".",,ok,,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf
18,Trane,FC-5 - FCBB0401AAYB0G20AC3A000001000PA,"38.3125"" W x 25.1875"" H x 9.875"" D",OK,"Matches UNT-SVX07Q Table 4 (Model B vertical cabinet): A=33-5/16"" size 03 / 38-5/16"" size 04; H 25-3/16""; D 9-7/8"".",,ok,,https://elibrary.tranetechnologies.com/public/commercial-hvac/Literature/Installation%20Operation%20and%20Maintenance/UNT-SVX07Q-EN_06302025.pdf
19,Trane,PTEF0701GAA,"42"" W x 16"" H x 13.75"" D (sleeve)",WRONG,"Depth 13.75"" is a generic PTAC wall-sleeve depth and appears NOWHERE in the cited Trane document. Trane PTAC-PRD002A states the unit is 42"" x 16"" x 21.5"".","42"" W x 16"" H x 21.5"" D (unit)",ok,,https://www.trane.com/content/dam/Trane/Commercial/global/products-systems/equipment/ductless/PTAC/PTAC-PRD002A-EN_01262016_PD.pdf
20,Trane,PTHF1201HAA,"42"" W x 16"" H x 13.75"" D (sleeve)",WRONG,"Depth 13.75"" is a generic PTAC wall-sleeve depth and appears NOWHERE in the cited Trane document. Trane PTAC-PRD002A states the unit is 42"" x 16"" x 21.5"".","42"" W x 16"" H x 21.5"" D (unit)",ok,,https://www.trane.com/content/dam/Trane/Commercial/global/products-systems/equipment/ductless/PTAC/PTAC-PRD002A-EN_01262016_PD.pdf
21,Trane,PTEF1501HAA,"42"" W x 16"" H x 13.75"" D (sleeve)",WRONG,"Depth 13.75"" is a generic PTAC wall-sleeve depth and appears NOWHERE in the cited Trane document. Trane PTAC-PRD002A states the unit is 42"" x 16"" x 21.5"".","42"" W x 16"" H x 21.5"" D (unit)",ok,,https://www.trane.com/content/dam/Trane/Commercial/global/products-systems/equipment/ductless/PTAC/PTAC-PRD002A-EN_01262016_PD.pdf
22,Trane,PTHF1501HAA,"42"" W x 16"" H x 13.75"" D (sleeve)",WRONG,"Depth 13.75"" is a generic PTAC wall-sleeve depth and appears NOWHERE in the cited Trane document. Trane PTAC-PRD002A states the unit is 42"" x 16"" x 21.5"".","42"" W x 16"" H x 21.5"" D (unit)",ok,,https://www.trane.com/content/dam/Trane/Commercial/global/products-systems/equipment/ductless/PTAC/PTAC-PRD002A-EN_01262016_PD.pdf
23,Islandaire,HS00A241GAS44AA,"34.75"" W x 17.25"" H x 21"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/08/EZ-SERIES-41-CUT-SHEET.pdf
24,Islandaire,HSKF12A5Z3A16AA,"36.125"" W x 24.590"" H x 10.5-16.0"" D",MISLABELED,"These are Heat Section items but carry the EZKF WALL SLEEVE dimensions (36.125 x 24.590 x 10.5-16.0). The KF hydronic coil in the same cut sheet is 1.250"" x 39.943"" x 4.500"".",Confirm whether the heat section or the sleeve is being stocked,ok,,https://islandaire.com/wp-content/uploads/2025/08/EZKF-Series-Cut-Sheet.pdf
25,Islandaire,HSKF12A2I3A16AA,"36.125"" W x 24.590"" H x 10.5-16.0"" D",MISLABELED,"These are Heat Section items but carry the EZKF WALL SLEEVE dimensions (36.125 x 24.590 x 10.5-16.0). The KF hydronic coil in the same cut sheet is 1.250"" x 39.943"" x 4.500"".",Confirm whether the heat section or the sleeve is being stocked,ok,,https://islandaire.com/wp-content/uploads/2025/08/EZKF-Series-Cut-Sheet.pdf
26,Islandaire,HSKF16A2I3A16AA,"36.125"" W x 24.590"" H x 10.5-16.0"" D",MISLABELED,"These are Heat Section items but carry the EZKF WALL SLEEVE dimensions (36.125 x 24.590 x 10.5-16.0). The KF hydronic coil in the same cut sheet is 1.250"" x 39.943"" x 4.500"".",Confirm whether the heat section or the sleeve is being stocked,ok,,https://islandaire.com/wp-content/uploads/2025/08/EZKF-Series-Cut-Sheet.pdf
27,Islandaire,"COIL,HYD,TOP MOUNT, MX STD","20.000"" W x 2.000"" H x 3.750"" D",OK,Matches EZMX accessory table 6030051 (Islandaire lists DEPTH 20.000 / WIDTH 3.750 / HEIGHT 2.000; sheet maps long axis to W).,,ok,,https://islandaire.com/wp-content/uploads/2025/07/EZ-Series-MX-cutsheet.pdf
28,Islandaire,EZNY TOP MNT; OPPOSITE END HEATING COIL,"40.192"" W x 0.750"" H x 6.875"" D",UNSOURCED,Accessory row; not individually re-verified in this pass. Islandaire accessory tables use DEPTH|WIDTH|HEIGHT order - confirm axis mapping.,,ok,,https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-NY-Cutsheet.pdf
29,Islandaire,"6030261 - COIL ASSY TOP MOUNT, SAME END, EZNY","41.000"" W x 3.500"" H x 7.000"" D",UNSOURCED,Accessory row; not individually re-verified in this pass. Islandaire accessory tables use DEPTH|WIDTH|HEIGHT order - confirm axis mapping.,,ok,,https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-NY-Cutsheet.pdf
30,Islandaire,"COIL ASSY, TOP MOUNT, RM, VER2","38.500"" W x 3.840"" H x 9.000"" D",UNSOURCED,Accessory row; not individually re-verified in this pass. Islandaire accessory tables use DEPTH|WIDTH|HEIGHT order - confirm axis mapping.,,ok,,https://islandaire.com/wp-content/uploads/2025/08/EZRM-Series-Cutsheet.pdf
31,Islandaire,"6030148 - COIL,HYD,16/SINGER,W\VENT","33.442"" W x 0.750"" H x 6.000"" D",OK,Matches EZ16 accessory table 6030148 (DEPTH 33.442 / WIDTH 6.00 / HEIGHT 0.750).,,ok,,https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-16-Cutsheet.pdf
32,Islandaire,"LOUVER, KA/KF, 36""","36.000"" W x 13.000"" H x 1.117"" D",UNSOURCED,Accessory row; not individually re-verified in this pass. Islandaire accessory tables use DEPTH|WIDTH|HEIGHT order - confirm axis mapping.,,ok,,https://islandaire.com/wp-content/uploads/2025/08/EZKF-Series-Cutsheet.pdf
33,Islandaire,"LOUVER, EZGS/EZNY/EZ42, EXTERNAL","42.000"" W x 15.900"" H x 1.125"" D",UNSOURCED,Accessory row; not individually re-verified in this pass. Islandaire accessory tables use DEPTH|WIDTH|HEIGHT order - confirm axis mapping.,,ok,,https://islandaire.com/wp-content/uploads/2025/07/EZGS-Series-Cutsheet.pdf
34,Islandaire,EZ15A2ADG4V,"35 7/8"" W x 16 1/4"" H x 19 3/8"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/07/EZ42-EZDR-Engineering-Manual-11_30_23.pdf
35,Islandaire,EZ15L2CSC1N44AA,"32"" W x 18 5/16"" H x 16.75"" D (sleeve)",UNSOURCED,Sleeve/TBD value not confirmed against a chassis table in the cited cut sheet.,,ok,,https://islandaire.com/wp-content/uploads/2025/06/EZ-Series-CS-cutsheet.pdf
36,Islandaire,EZ15KL2CSC1N44AA,"40"" W x 16"" H x 20"" D (sleeve)",UNSOURCED,Sleeve/TBD value not confirmed against a chassis table in the cited cut sheet.,,ok,,https://islandaire.com/wp-content/uploads/2025/09/EZSC-Series-Cutsheet.pdf
37,Islandaire,EZ15B4XXX1S14AA,"37.5"" W (41.5 w/ hydronic) x 16"" H x 20.375"" D (sleeve)",MISLABELED,"Values are the EZ16 SLEEVE-CABINET (verified: short 20.375 x 37.50 x 16.00; long/hydronic 20.875 x 41.50 x 16.00). Note the hydronic (41.5"" W) sleeve is 20.875"" deep, not 20.375"".","Split: 37.5""W x 16""H x 20.375""D (short) / 41.5""W x 16""H x 20.875""D (hydronic)",ok,,https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-16-Cutsheet.pdf
38,Islandaire,EZ12K5EDGB,"42 5/8"" W x 14 13/16"" H x 20 3/4"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-ED-Cutsheet.pdf
39,Islandaire,EZ09C2EBC1N14AA,"42 5/8"" W x 14 13/16"" H x 20 3/4"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-ED-Cutsheet.pdf
40,Islandaire,EZ12C2EBC1N14AA,"42 5/8"" W x 14 13/16"" H x 20 3/4"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-ED-Cutsheet.pdf
41,Islandaire,EZ12A2EDGB,"42 5/8"" W x 14 13/16"" H x 20 3/4"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-ED-Cutsheet.pdf
42,Islandaire,EZ15K2EDIBS15AA,"42 5/8"" W x 14 13/16"" H x 20 3/4"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-ED-Cutsheet.pdf
43,Islandaire,EZED16K2IBS45AA,"42 5/8"" W x 14 13/16"" H x 20 3/4"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-ED-Cutsheet.pdf
44,Islandaire,EZ09L216C1S15AB,"34 1/4"" W x 14 1/16"" H x 21 9/16"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-16-Cutsheet.pdf
45,Islandaire,EZPD12K9GAS47AA,"42.00"" W x 16.00"" H x 15.00"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/08/ezpd-series-cut-sheet.pdf
46,Islandaire,EZ12K9JKGAS15AA,"42"" W x 16"" H x 13.75"" D (sleeve)",UNSOURCED,Sleeve/TBD value not confirmed against a chassis table in the cited cut sheet.,,ok,,https://islandaire.com/wp-content/uploads/2025/07/EZ-Series-JK-cutsheet.pdf
47,Islandaire,EZPD16K9GBS47AA,"42.00"" W x 16.00"" H x 15.00"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/08/ezpd-series-cut-sheet.pdf
48,Islandaire,EZ15K9JKGAS15AA,"42"" W x 16"" H x 13.75"" D (sleeve)",UNSOURCED,Sleeve/TBD value not confirmed against a chassis table in the cited cut sheet.,,ok,,https://islandaire.com/wp-content/uploads/2025/07/EZ-Series-JK-cutsheet.pdf
49,Islandaire,EZ12C1JA,"30"" W x 14"" H x 20.31"" D (sleeve)",UNSOURCED,Sleeve/TBD value not confirmed against a chassis table in the cited cut sheet.,,ok,,https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-JA-Cutsheet.pdf
50,Islandaire,EZ15A9JKG4S15AA,"42"" W x 16"" H x 13.75"" D (sleeve)",UNSOURCED,Sleeve/TBD value not confirmed against a chassis table in the cited cut sheet.,,ok,,https://islandaire.com/wp-content/uploads/2025/07/EZ-Series-JK-cutsheet.pdf
51,Islandaire,EZ09K9JAF4S14AA,"30"" W x 14"" H x 20.31"" D (sleeve)",UNSOURCED,Sleeve/TBD value not confirmed against a chassis table in the cited cut sheet.,,ok,,https://islandaire.com/wp-content/uploads/2025/09/EZ-Series-JA-Cutsheet.pdf
52,Islandaire,EZKF12L5ZBS46AL,"36.125"" W x 24.590"" H x 10.5-16.0"" D",MISLABELED,"Values are the EZKF wall-sleeve assembly range (verified: 5 sleeve depths 10.5/11.5/12/14/16 x 36.125 x 24.590) - correct for the sleeve, but these rows are cooling chassis.",Chassis dims not published in cut sheet,ok,,https://islandaire.com/wp-content/uploads/2025/08/EZKF-Series-Cutsheet.pdf
53,Islandaire,EZ12B2KFIAK14AA,"36.125"" W x 24.590"" H x 10.5-16.0"" D",MISLABELED,"Values are the EZKF wall-sleeve assembly range (verified: 5 sleeve depths 10.5/11.5/12/14/16 x 36.125 x 24.590) - correct for the sleeve, but these rows are cooling chassis.",Chassis dims not published in cut sheet,ok,,https://islandaire.com/wp-content/uploads/2025/08/EZKF-Series-Cutsheet.pdf
54,Islandaire,EZKF12L2IAS46AL,"36.125"" W x 24.590"" H x 10.5-16.0"" D",MISLABELED,"Values are the EZKF wall-sleeve assembly range (verified: 5 sleeve depths 10.5/11.5/12/14/16 x 36.125 x 24.590) - correct for the sleeve, but these rows are cooling chassis.",Chassis dims not published in cut sheet,ok,,https://islandaire.com/wp-content/uploads/2025/08/EZKF-Series-Cutsheet.pdf
55,Islandaire,EZKF12L2IBS46AL,"36.125"" W x 24.590"" H x 10.5-16.0"" D",MISLABELED,"Values are the EZKF wall-sleeve assembly range (verified: 5 sleeve depths 10.5/11.5/12/14/16 x 36.125 x 24.590) - correct for the sleeve, but these rows are cooling chassis.",Chassis dims not published in cut sheet,ok,,https://islandaire.com/wp-content/uploads/2025/08/EZKF-Series-Cutsheet.pdf
56,Islandaire,EZKF16L21BS46AZ,"36.125"" W x 24.590"" H x 10.5-16.0"" D",MISLABELED,"Values are the EZKF wall-sleeve assembly range (verified: 5 sleeve depths 10.5/11.5/12/14/16 x 36.125 x 24.590) - correct for the sleeve, but these rows are cooling chassis.",Chassis dims not published in cut sheet,ok,,https://islandaire.com/wp-content/uploads/2025/08/EZKF-Series-Cutsheet.pdf
57,Islandaire,EZ15A2KF,"36.125"" W x 24.590"" H x 10.5-16.0"" D",MISLABELED,"Values are the EZKF wall-sleeve assembly range (verified: 5 sleeve depths 10.5/11.5/12/14/16 x 36.125 x 24.590) - correct for the sleeve, but these rows are cooling chassis.",Chassis dims not published in cut sheet,ok,,https://islandaire.com/wp-content/uploads/2025/07/EZ42-EZDR-Engineering-Manual-11_30_23.pdf
58,Islandaire,EZKF16L2IAS46AL,"36.125"" W x 24.590"" H x 10.5-16.0"" D",MISLABELED,"Values are the EZKF wall-sleeve assembly range (verified: 5 sleeve depths 10.5/11.5/12/14/16 x 36.125 x 24.590) - correct for the sleeve, but these rows are cooling chassis.",Chassis dims not published in cut sheet,ok,,https://islandaire.com/wp-content/uploads/2025/08/EZKF-Series-Cutsheet.pdf
59,Islandaire,EZKF16L2IBS46AL,"36.125"" W x 24.590"" H x 10.5-16.0"" D",MISLABELED,"Values are the EZKF wall-sleeve assembly range (verified: 5 sleeve depths 10.5/11.5/12/14/16 x 36.125 x 24.590) - correct for the sleeve, but these rows are cooling chassis.",Chassis dims not published in cut sheet,ok,,https://islandaire.com/wp-content/uploads/2025/08/EZKF-Series-Cutsheet.pdf
60,Islandaire,EZ07A5MXZBS14AA,"26 5/16"" W x 15 13/16"" H x 20 5/8"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/07/EZ-Series-MX-cutsheet.pdf
61,Islandaire,EZ07K5MXZBS14AA,"26 5/16"" W x 15 13/16"" H x 20 5/8"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/07/EZ-Series-MX-cutsheet.pdf
62,Islandaire,EZ09L5MXY1S14AA,"26 5/16"" W x 15 13/16"" H x 20 5/8"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/07/EZ-Series-MX-cutsheet.pdf
63,Islandaire,EZ12K1MXFBS14AA,"26 5/16"" W x 15 13/16"" H x 20 5/8"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/07/EZ42-EZDR-Engineering-Manual-11_30_23.pdf
64,Islandaire,EZ12K5MXZBS14AA,"26 5/16"" W x 15 13/16"" H x 20 5/8"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/07/EZ-Series-MX-cutsheet.pdf
65,Islandaire,EZ12K1MXZBS14AA,"26 5/16"" W x 15 13/16"" H x 20 5/8"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/07/EZ-Series-MX-cutsheet.pdf
66,Islandaire,EZ09K2MXIBS14AA,"26 5/16"" W x 15 13/16"" H x 20 5/8"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/07/EZ-Series-MX-cutsheet.pdf
67,Islandaire,EZ12K2MXIBS10AA,"26 5/16"" W x 15 13/16"" H x 20 5/8"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/07/EZ-Series-MX-cutsheet.pdf
68,Islandaire,EZ12A2MXI2S14AA,"26 5/16"" W x 15 13/16"" H x 20 5/8"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/07/EZ-Series-MX-cutsheet.pdf
69,Islandaire,EZ12K2MXIBS14AA,"26 5/16"" W x 15 13/16"" H x 20 5/8"" D",UNSOURCED,"Islandaire EZ-series cut sheets contain performance data + accessory tables (sleeve-cabinet, coils, louvers, filters, subbases, enclosures) but NO chassis dimension table. The recorded chassis dimensions are not stated anywhere in the cited document.",,live but contains no chassis dims,Islandaire engineering manual / IOM for the series,https://islandaire.com/wp-content/uploads/2025/07/EZ-Series-MX-cutsheet.pdf
