Model,Dimensions,Cut Sheet,Status,Notes
CCV24A30A,"25 1/2"" W x 17"" H x 26 3/8"" D",https://www.friedrich.com/hubfs/2026%20Literature%20PDFs/2026%20Brochures/BR_CHILL%20INVERTER_REV%2002-14-25.pdf,VERIFIED,same row
KCL24A30,"28"" W x 20 3/16"" H x 35 1/2"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/K%C3%9CHL%20SUBMITTAL_2025.pdf,VERIFIED (chassis-mapped),L chassis -> L sleeve 28 x 20 3/16 x 35 1/2; legacy A-rev (doc lists KCL28B30A/KCL36B30A as L)
KCL36A30A,"28"" W x 20 3/16"" H x 35 1/2"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/K%C3%9CHL%20SUBMITTAL_2025.pdf,VERIFIED (chassis-mapped),L chassis; current-rev KCL36B30A confirmed L in doc
KCVS12B10,"25 15/16"" W x 15 15/16"" H x 29"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/K%C3%9CHL%20SUBMITTAL_2025.pdf,VERIFIED,doc: KCVS12B10A -> S sleeve
KCVM14B10,"25 15/16"" W x 17 15/16"" H x 29"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/K%C3%9CHL%20SUBMITTAL_2025.pdf,VERIFIED,doc: KCVM14B10A -> M sleeve
KCM14A10,"25 15/16"" W x 17 15/16"" H x 29"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/K%C3%9CHL%20SUBMITTAL_2025.pdf,VERIFIED (chassis-mapped),M chassis legacy A-rev
KCS12A30,"25 15/16"" W x 15 15/16"" H x 29"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/K%C3%9CHL%20SUBMITTAL_2025.pdf,VERIFIED (chassis-mapped),S chassis legacy A-rev
KCS16A30,"25 15/16"" W x 15 15/16"" H x 29"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/K%C3%9CHL%20SUBMITTAL_2025.pdf,VERIFIED (chassis-mapped),S chassis; KCVS16B30A confirmed S in doc
UCT12A10,"24 1/4"" W x 14 1/2"" H x 20 5/16"" D",https://www.friedrich.com/hubfs/2024%20Literature%20PDFs/Submittal/SUBM_UNIFIT%20REV%202.16.2024.pdf,VERIFIED (chassis-mapped),"UCT/UET chassis row; legacy A-rev, same USC platform as rows 243-248"
WCT08A10A,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,listed in Wallmaster submittal; WSE sleeve
WCT10A10B,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,WCT10A10A listed; B-rev same platform
WCT10A10A,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,listed
WCT12A10B,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,listed (WCT12A10B in plug table)
WCT10A30A,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,listed
WCT12A30A,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,listed
WCT16A30A,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,listed
WET16A33,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,listed as WET16A33A
CCF05B10A,"18 5/8"" W x 13 3/8"" H x 15 5/8"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/Chill%20Premier_Submittal%20_2025.pdf,VERIFIED,doc lists CCF05B10C: 13 3/8 H x 18 5/8 W x 15 5/8 D - WINDOW INSTALLATION ONLY
KCS08A10A,"25 15/16"" W x 15 15/16"" H x 29"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/K%C3%9CHL%20SUBMITTAL_2025.pdf,VERIFIED (chassis-mapped),S chassis; KCVS08B10A confirmed S in doc
KCS16A30A,"25 15/16"" W x 15 15/16"" H x 29"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/K%C3%9CHL%20SUBMITTAL_2025.pdf,VERIFIED (chassis-mapped),S chassis
SC06A10,MODEL NOT FOUND - confirm model number,,NOT FOUND,no such AC model anywhere (only an NTN bearing matches); closest Friedrich: CP06A10 / KCQ06A10A / CCF06B10C
KHVM24B34A,"25 15/16"" W x 17 15/16"" H x 29"" D",https://www.friedrich.com/hubfs/2025%20Literature%20PDFs/2025%20Submittals/K%C3%9CHL%20SUBMITTAL_2025.pdf,VERIFIED,doc explicitly maps KHVM24B34A -> M sleeve
WCT12A10,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,WCT12A10A listed
WCT12A30B,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,WCT12A30B listed in plug table
WCT16B30A,"27"" W x 16 3/4"" H x 16 3/4"" D",https://www.friedrich.com/hubfs/2023%20Literature%20PDFs/Submittals/Thru-the-wall_Wallmaster_Submittal_2023.pdf,VERIFIED,explicitly listed (R-32 model)
